CSC, 1933608, 1
CSC, 1966175, 3
CSC, 1988401, 6
CSC, 1988659, 1
CSC, 1988753, 2
CSC, 1989113, 2
CSC, 1989255, 1
CSC, 2333325, 2
CSC, 2912357, 2
CSC, 2912740, 1
USA, 1933608, 1
USA, 1966175, 2
USA, 1988401, 10
USA, 1988659, 35
USA, 1988753, 34
USA, 1989113, 71
USA, 1989255, 4
USA, 2333325, 1
USA, 2912357, 36
USA, 2912740, 2
Singapore, 1933608, 2
Singapore, 1966175, 1
Singapore, 1988401, 6
Singapore, 1988659, 1
Singapore, 1988753, 4
Singapore, 1989113, 38
Singapore, 1989255, 1
Singapore, 2333325, 3
Singapore, 2912357, 16
Singapore, 2912740, 1
China, 1933608, 5
China, 1966175, 1
China, 1988401, 2
China, 1988659, 1
China, 1988753, 1
China, 1989113, 8
China, 1989255, 1
China, 2333325, 9
China, 2912357, 22
China, 2912740, 1
